filename,width,height,class,xmin,ymin,xmax,ymax
1001.jpg,640,480,Railway,390,199,523,480
1001.jpg,640,480,HumanInRailway,388,193,442,242
1002.jpg,640,480,Railway,389,229,495,480
1002.jpg,640,480,HumanInRailway,391,230,437,280
1003.jpg,640,480,HumanInRailway,379,308,421,350
1003.jpg,640,480,Railway,375,240,434,480
1004.jpg,640,480,Railway,382,2,482,480
1004.jpg,640,480,HumanInRailway,391,35,450,96
1005.jpg,640,480,HumanInRailway,422,315,467,356
1005.jpg,640,480,Railway,411,241,498,474
1006.jpg,640,480,Railway,392,227,447,480
1006.jpg,640,480,HumanInRailway,386,288,450,350
1007.jpg,640,480,Railway,405,192,510,480
1007.jpg,640,480,HumanInRailway,423,278,465,325
1008.jpg,640,480,HumanInRailway,383,310,439,354
1008.jpg,640,480,Railway,364,207,467,480
1009.jpg,640,480,Railway,349,235,392,480
1009.jpg,640,480,HumanInRailway,348,350,392,392
1010.jpg,640,480,HumanInRailway,399,311,452,359
1010.jpg,640,480,Railway,371,217,488,480
1011.jpg,640,480,Railway,331,136,392,480
1011.jpg,640,480,HumanInRailway,339,229,377,279
1012.jpg,640,480,HumanInRailway,336,157,381,204
1012.jpg,640,480,Railway,320,94,473,480
1013.jpg,640,480,HumanInRailway,292,396,343,441
1013.jpg,640,480,Railway,274,300,358,478
1014.jpg,640,480,Railway,279,232,320,480
1014.jpg,640,480,HumanInRailway,278,333,320,380
1015.jpg,640,480,HumanInRailway,267,308,307,349
1015.jpg,640,480,Railway,263,229,331,480
1016.jpg,640,480,Railway,249,254,314,473
1016.jpg,640,480,HumanInRailway,259,322,289,362
1017.jpg,640,480,HumanInRailway,272,333,312,371
1017.jpg,640,480,Railway,254,267,348,475
1018.jpg,640,480,Railway,235,244,327,480
1018.jpg,640,480,HumanInRailway,245,290,283,338
1019.jpg,640,480,Railway,256,280,352,476
1019.jpg,640,480,HumanInRailway,261,307,312,353
1020.jpg,640,480,HumanInRailway,242,303,279,343
1020.jpg,640,480,Railway,239,273,308,480
1021.jpg,640,480,HumanInRailway,267,302,311,343
1021.jpg,640,480,Railway,260,259,357,475
1022.jpg,640,480,HumanInRailway,245,304,275,336
1022.jpg,640,480,Railway,238,244,306,474
1023.jpg,640,480,HumanInRailway,261,313,297,347
1023.jpg,640,480,Railway,243,255,339,469
1024.jpg,640,480,Railway,231,257,304,472
1024.jpg,640,480,HumanInRailway,239,307,272,341
1025.jpg,640,480,HumanInRailway,248,312,279,346
1025.jpg,640,480,Railway,234,257,311,464
1026.jpg,640,480,HumanInRailway,242,325,284,356
1026.jpg,640,480,Railway,227,272,316,470
1027.jpg,640,480,Railway,214,260,298,468
1027.jpg,640,480,HumanInRailway,229,320,260,352
1028.jpg,640,480,Railway,187,173,261,468
1028.jpg,640,480,HumanInRailway,195,228,225,257
1029.jpg,640,480,Railway,181,46,264,465
1029.jpg,640,480,HumanInRailway,191,95,213,127
1030.jpg,640,480,Railway,184,259,260,476
1030.jpg,640,480,HumanInRailway,196,313,222,348
1031.jpg,640,480,Railway,192,273,287,472
1031.jpg,640,480,HumanInRailway,208,323,243,359
1032.jpg,640,480,Railway,182,298,261,472
1032.jpg,640,480,HumanInRailway,195,341,219,372
1033.jpg,640,480,Railway,164,295,233,471
1033.jpg,640,480,HumanInRailway,173,336,203,369
1034.jpg,640,480,Railway,134,255,196,472
1034.jpg,640,480,HumanInRailway,142,281,170,312
1035.jpg,640,480,Railway,141,11,218,472
1035.jpg,640,480,HumanInRailway,143,50,170,84
1036.jpg,640,480,Railway,121,285,198,470
1036.jpg,640,480,HumanInRailway,132,330,164,361
1037.jpg,640,480,Railway,109,206,158,472
1037.jpg,640,480,HumanInRailway,111,254,140,290
1038.jpg,640,480,Railway,70,299,140,473
1038.jpg,640,480,HumanInRailway,78,339,102,368
1039.jpg,640,480,Railway,216,292,285,478
1039.jpg,640,480,HumanInRailway,224,330,254,363
1040.jpg,640,480,Railway,217,280,293,475
1040.jpg,640,480,HumanInRailway,226,317,258,348
1041.jpg,640,480,Railway,221,285,284,469
1041.jpg,640,480,HumanInRailway,225,302,257,346
1042.jpg,640,480,Railway,209,273,255,480
1042.jpg,640,480,HumanInRailway,214,285,242,318
1043.jpg,640,480,Railway,181,15,248,480
1043.jpg,640,480,HumanInRailway,187,56,218,92
1044.jpg,640,480,Railway,197,290,253,475
1044.jpg,640,480,HumanInRailway,203,318,234,355
1045.jpg,640,480,Railway,225,173,365,474
1045.jpg,640,480,HumanInRailway,241,194,268,227
1046.jpg,640,480,Railway,187,269,220,472
1046.jpg,640,480,HumanInRailway,188,301,217,333
1047.jpg,640,480,Railway,212,167,278,480
1047.jpg,640,480,HumanInRailway,221,185,261,223
1048.jpg,640,480,HumanInRailway,233,253,285,327
1048.jpg,640,480,Railway,206,254,436,480
1049.jpg,640,480,HumanInRailway,296,98,355,172
1049.jpg,640,480,Railway,283,112,640,413
1050.jpg,640,480,HumanInRailway,293,286,357,355
1050.jpg,640,480,Railway,276,280,475,476
1051.jpg,640,480,HumanInRailway,276,273,333,322
1051.jpg,640,480,Railway,277,284,640,480
1052.jpg,640,480,HumanInRailway,208,34,278,87
1052.jpg,640,480,Railway,212,40,589,480
1053.jpg,640,480,HumanInRailway,203,118,268,174
1053.jpg,640,480,Railway,197,124,640,480
1054.jpg,640,480,Railway,226,390,323,475
1054.jpg,640,480,HumanInRailway,200,333,270,390
1055.jpg,640,480,HumanInRailway,213,304,274,365
1055.jpg,640,480,Railway,193,286,367,475
1056.jpg,640,480,Railway,169,49,400,480
1056.jpg,640,480,HumanInRailway,176,45,228,101
1057.jpg,640,480,Railway,327,342,430,480
1058.jpg,640,480,Railway,356,240,509,480
1059.jpg,640,480,Railway,340,229,561,480
1059.jpg,640,480,HumanInRailway,343,227,384,270
1060.jpg,640,480,Railway,340,201,601,480
1060.jpg,640,480,HumanInRailway,340,195,379,235
1061.jpg,640,480,Railway,327,287,433,477
1062.jpg,640,480,Railway,348,267,516,467
1062.jpg,640,480,HumanInRailway,342,236,382,267
1063.jpg,640,480,Railway,360,240,510,480
1064.jpg,640,480,Railway,257,273,355,474
1064.jpg,640,480,HumanInRailway,268,322,302,357
1065.jpg,640,480,Railway,228,255,271,479
1065.jpg,640,480,HumanInRailway,227,299,258,331
1066.jpg,640,480,Railway,211,273,247,480
1066.jpg,640,480,HumanInRailway,211,315,242,348
1067.jpg,640,480,Railway,165,305,238,474
1067.jpg,640,480,HumanInRailway,171,341,208,374
1068.jpg,640,480,Railway,103,332,174,476
1068.jpg,640,480,HumanInRailway,116,373,151,413
1069.jpg,640,480,Railway,139,317,220,476
1069.jpg,640,480,HumanInRailway,144,344,185,382
1070.jpg,640,480,Railway,87,261,136,469
1070.jpg,640,480,HumanInRailway,87,303,125,337
1071.jpg,640,480,Railway,64,267,110,471
1071.jpg,640,480,HumanInRailway,63,303,100,340
1072.jpg,640,480,Railway,105,240,165,472
1072.jpg,640,480,HumanInRailway,105,268,141,299
1073.jpg.jpg,1280,720,HumanInRailway,519,317,720,495
1073.jpg.jpg,1280,720,Railway,510,51,736,710
1073.jpg,2560,1440,Railway,1040,112,1458,1421
1073.jpg,2560,1440,HumanInRailway,1091,666,1384,953
1074.jpg.jpg,1280,720,HumanInRailway,633,619,779,720
1074.jpg.jpg,1280,720,Railway,621,105,785,720
1074.jpg,2560,1440,Railway,1236,139,1558,1428
1074.jpg,2560,1440,HumanInRailway,1265,1238,1534,1440
1075.jpg.jpg,1280,720,Railway,596,89,747,720
1075.jpg,2560,1440,Railway,1162,104,1481,1416
1076.jpg.jpg,1280,720,HumanInRailway,708,602,841,714
1076.jpg.jpg,1280,720,Railway,708,34,839,720
1076.jpg,2560,1440,Railway,1413,63,1665,1434
1076.jpg,2560,1440,HumanInRailway,1431,1204,1657,1426
1077.jpg.jpg,1280,720,HumanInRailway,564,357,703,484
1077.jpg.jpg,1280,720,Railway,540,212,738,717
1077.jpg,2560,1440,Railway,1106,405,1447,1421
1077.jpg,2560,1440,HumanInRailway,1147,722,1397,943
1078.jpg.jpg,1280,720,HumanInRailway,593,368,734,473
1078.jpg.jpg,1280,720,Railway,586,192,758,720
1078.jpg,2560,1440,Railway,1153,428,1518,1405
1078.jpg,2560,1440,HumanInRailway,1186,714,1433,938
1079.jpg.jpg,1280,720,HumanInRailway,538,198,685,321
1079.jpg.jpg,1280,720,Railway,536,33,732,717
1079.jpg,2560,1440,Railway,1067,117,1470,1433
1079.jpg,2560,1440,HumanInRailway,1074,404,1347,616
1080.jpg.jpg,1280,720,HumanInRailway,559,51,696,166
1080.jpg.jpg,1280,720,Railway,554,9,775,718
1080.jpg,2560,1440,Railway,1109,21,1518,1439
1080.jpg,2560,1440,HumanInRailway,1123,107,1386,336
1081.jpg.jpg,1280,720,HumanInRailway,620,428,751,554
1081.jpg.jpg,1280,720,Railway,606,190,771,720
1081.jpg,2560,1440,Railway,1225,363,1514,1440
1081.jpg,2560,1440,HumanInRailway,1228,860,1487,1090
